pair_id,pair_ai,trial_id,batch,target_identity,target_ai,control_framing,target_framing,note_timing,request_order,control_task,target_task,target_begun_first
efficiency_control|efficiency|distress|after|control_first|gpt4o|200,gpt4o,T00391,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|200,gpt4o,T00703,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|198,gpt4o,T00390,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|198,gpt4o,T00701,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|197,gpt4o,T00389,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,meeting_efficiency,release_notes,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|197,gpt4o,T00700,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,release_notes,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|196,gpt4o,T00388,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|196,gpt4o,T00699,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|195,gpt4o,T00387,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,meeting_efficiency,release_notes,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|195,gpt4o,T00698,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|193,gpt4o,T00386,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|193,gpt4o,T00696,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|192,gpt4o,T00385,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|192,gpt4o,T00695,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|190,gpt4o,T00384,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|190,gpt4o,T00693,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
